,Location,Latitude,Longitude,Altitude
0,Bhojpur Municipality,27.181827363,87.067922786,1503.0
1,Shadananda Municipality,27.33764,87.10635,1404.0
2,Aamchowk Rural Municipality,26.97234,87.03712,1208.0
3,Arun Rural Municipality,27.18656,87.20954,945.0
4,Hatuwagadhi Rural Municipality,26.99571,87.14134,918.0
5,Pauwadungma Rural Municipality,27.12322,87.14726,1816.0
6,Ramprasad Rai Rural Municipality,27.0812,87.03347,1573.0
7,Salpasilichho Rural Municipality,27.38315,86.98153,1965.0
8,Temkemaiyung Rural Municipality,27.20829,86.96277,1770.0
9,Dhankuta Municipality,26.990928225,87.330991692,1212.0
10,Mahalaxmi Municipality,27.13367,87.33563,721.0
11,Pakhribas Municipality,27.05068,87.28551,1756.0
12,Chaubise Rural Municipality,26.92253,87.46656,688.0
13,Chhathar Jorpati Rural Municipality,27.02585,87.4054,1593.0
14,Sangurigadhi Rural Municipality,26.90018,87.29004,844.0
15,Shahidbhumi Rural Municipality,26.990928225,87.330991692,1212.0
16,Deumai Municipality,26.93196,87.84665,1500.0
17,Illam Municipality,26.90943,87.92824,1219.0
18,Mai Municipality,26.76981,87.86497,224.0
19,Suryodaya Municipality,26.89588,88.06804,1519.0
20,Chulachuli Rural Municipality,26.70375,87.76221,166.0
21,Fakphokthum Rural Municipality,26.96886,87.75438,1129.0
22,Maijogmai Rural Municipality,26.96086,88.00746,1663.0
23,Mangsebung Rural Municipality,26.82741,87.73528,679.0
24,Rong Rural Municipality,26.80445,88.0665,811.0
25,Sandakpur Rural Municipality,27.10454,88.00176,3585.0
26,Arjundhara Municipality,26.67809,87.96977,140.0
27,Bhadrapur Municipality,26.55644,88.08843,94.0
28,Birtamod Municipality,26.64481,87.99957,133.0
29,Damak Municipality,26.66337,87.69679,132.0
30,Gauradhaha Municipality,26.5478,87.6957,96.0
31,Kankai Municipality,26.63676,87.91362,114.0
32,Mechinagar Municipality,26.67284,88.12301,136.0
33,Shivasataxi Municipality,26.60888,87.81451,109.0
34,Barhadashi Rural Municipality,26.57234,87.94778,101.0
35,Buddhashanti Rural Municipality,26.74111,88.07108,272.0
