Location,T2M,T2MWET,TS,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS50M,WS50M_MAX,WS50M_MIN
laxmanpur_mean,25.20062943,18.30948292,24.82848771,31.54392659,19.99323779,49.09071242,3.044642196,97.13161379,2.6881015,4.428806894,1.138496649,3.783877434,5.672520906,1.658251516
Bejapur_mean,25.20062943,18.30948292,24.82848771,31.54392659,19.99323779,49.09071242,3.044642196,97.13161379,2.6881015,4.428806894,1.138496649,3.783877434,5.672520906,1.658251516
Khakhusm_mean,25.20062943,18.30948292,24.82848771,31.54392659,19.99323779,49.09071242,3.044642196,97.13161379,2.6881015,4.428806894,1.138496649,3.783877434,5.672520906,1.658251516
Fattepur_mean,25.20062943,18.30948292,24.82848771,31.54392659,19.99323779,49.09071242,3.044642196,97.13161379,2.6881015,4.428806894,1.138496649,3.783877434,5.672520906,1.658251516
Chakiya_mean,25.70053942,18.93724801,25.53699074,32.48140057,19.95061602,50.31587424,2.944831791,98.96875583,2.680008937,4.369020109,1.169781679,3.967387169,6.130056815,1.719108203
Nepalgunj_mean,25.20062943,18.30948292,24.82848771,31.54392659,19.99323779,49.09071242,3.044642196,97.13161379,2.6881015,4.428806894,1.138496649,3.783877434,5.672520906,1.658251516
Goltakuri_mean,25.20062943,18.30948292,24.82848771,31.54392659,19.99323779,49.09071242,3.044642196,97.13161379,2.6881015,4.428806894,1.138496649,3.783877434,5.672520906,1.658251516
jamuni_mean,25.70053942,18.93724801,25.53699074,32.48140057,19.95061602,50.31587424,2.944831791,98.96875583,2.680008937,4.369020109,1.169781679,3.967387169,6.130056815,1.719108203
Banke_mean,25.20062943,18.30948292,24.82848771,31.54392659,19.99323779,49.09071242,3.044642196,97.13161379,2.6881015,4.428806894,1.138496649,3.783877434,5.672520906,1.658251516
Pauda_mean,25.70053942,18.93724801,25.53699074,32.48140057,19.95061602,50.31587424,2.944831791,98.96875583,2.680008937,4.369020109,1.169781679,3.967387169,6.130056815,1.719108203
Udarapur_mean,25.70053942,18.93724801,25.53699074,32.48140057,19.95061602,50.31587424,2.944831791,98.96875583,2.680008937,4.369020109,1.169781679,3.967387169,6.130056815,1.719108203
Kanchanpur_mean,25.20062943,18.30948292,24.82848771,31.54392659,19.99323779,49.09071242,3.044642196,97.13161379,2.6881015,4.428806894,1.138496649,3.783877434,5.672520906,1.658251516
Laukahi_mean,25.70053942,18.93724801,25.53699074,32.48140057,19.95061602,50.31587424,2.944831791,98.96875583,2.680008937,4.369020109,1.169781679,3.967387169,6.130056815,1.719108203
Baijnath Purwa_mean,25.20062943,18.30948292,24.82848771,31.54392659,19.99323779,49.09071242,3.044642196,97.13161379,2.6881015,4.428806894,1.138496649,3.783877434,5.672520906,1.658251516
Sorhawa_mean,25.70053942,18.93724801,25.53699074,32.48140057,19.95061602,50.31587424,2.944831791,98.96875583,2.680008937,4.369020109,1.169781679,3.967387169,6.130056815,1.719108203
Gulariya_mean,25.70053942,18.93724801,25.53699074,32.48140057,19.95061602,50.31587424,2.944831791,98.96875583,2.680008937,4.369020109,1.169781679,3.967387169,6.130056815,1.719108203
Sarpanegarpa_mean,22.1716189,15.97423492,21.66851133,28.18988509,17.39277625,52.00463773,3.074573891,92.12011618,2.85491414,4.969096712,1.144078519,3.74619534,5.618466645,1.634995851
Naubasta_mean,25.20062943,18.30948292,24.82848771,31.54392659,19.99323779,49.09071242,3.044642196,97.13161379,2.6881015,4.428806894,1.138496649,3.783877434,5.672520906,1.658251516
Deudakala_mean,24.88668688,18.00719119,24.40335206,31.04435046,19.72661411,48.77412193,2.921781679,96.21693393,2.419915736,4.037486116,0.938850303,3.234559847,4.874054899,1.265657836
Kavra_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Chhinchu_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Kalimati Kalche_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Sinwang_mean,14.95048324,10.03299649,14.28077944,21.08542483,10.08809192,57.69772231,3.021934248,80.7631082,2.510844558,4.840745611,0.834572614,2.766857964,4.586235557,1.060296202
bardiya_mean,24.88668688,18.00719119,24.40335206,31.04435046,19.72661411,48.77412193,2.921781679,96.21693393,2.419915736,4.037486116,0.938850303,3.234559847,4.874054899,1.265657836
Bela_mean,24.88668688,18.00719119,24.40335206,31.04435046,19.72661411,48.77412193,2.921781679,96.21693393,2.419915736,4.037486116,0.938850303,3.234559847,4.874054899,1.265657836
Kabhrechaur II_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Kabhrechaur I_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Bardiya NP_mean,24.88668688,18.00719119,24.40335206,31.04435046,19.72661411,48.77412193,2.921781679,96.21693393,2.419915736,4.037486116,0.938850303,3.234559847,4.874054899,1.265657836
Lekhpokhara_mean,14.95048324,10.03299649,14.28077944,21.08542483,10.08809192,57.69772231,3.021934248,80.7631082,2.510844558,4.840745611,0.834572614,2.766857964,4.586235557,1.060296202
Salyan_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Rajapur_mean,24.88668688,18.00719119,24.40335206,31.04435046,19.72661411,48.77412193,2.921781679,96.21693393,2.419915736,4.037486116,0.938850303,3.234559847,4.874054899,1.265657836
Gothi_mean,24.88668688,18.00719119,24.40335206,31.04435046,19.72661411,48.77412193,2.921781679,96.21693393,2.419915736,4.037486116,0.938850303,3.234559847,4.874054899,1.265657836
NRASG_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Vheriganga-6_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
